Name	Title	Review	Rating	Prediction
K Olds	Happy with the change to Fitbit Versa 2	LOVE my new Fitbit Versa 2 Easy to learn and very comfortable to wear. I have tiny arms so I was worried about the face size but its turned out fine even when dressing up. I am at the age that new technology isn't always my friend. I had my Samsung watch for a really long time so I was worried about the switch. My fears were unfounded and intact it's been so easy my husband got himself one also. I am looking forward to the merger with Google so I can retire Alexa. Recieved my order two days early. Packaged with no damage. I love my purple band :)	5.0	5.054810112447017
Nkie715	This watch, bad app	This watch is great, however, the Fitbit app keeps crashing! I've only had this watch 2 weeks and I've had to uninstall and reinstall the app at least 3 times to get the app to find my watch. That is the only solution for this issue according to the app in the Play store. Too bad Fitbit can't invest in the app as much as they have their trackers.	5.0	5.055352283791326
Eileen Jones	Quality product for a good price	I bought this item fairly quickly and without a lot of research. it was recommended in an article. It was delivered very quickly and I could not be more satisfied. It is super user-friendly. Easy to use. Any app is available. It does so much more than just tracking exercise and fitness. Very pleased	5.0	5.056387970120606
Skye Musacchia	Amazing	Absolutely love this watch!!!  I would highly recommend it to every one!!! Love the alexa I use her alot for grocery lists. (I'm good at writing them and leaving them on the counter) love keeping track of my hear rate and the friendly competitions with family members.	5.0	5.058110800925835
J. Wong	Sleep and weight tracking features are great	I am mainly writing a review of the sleep and weight tracking features as these are the main purpose I bought the device for.  From my personal experience, the Fitbit Versa 2 seems to track sleep patterns quite well as it matches how I feel about my sleep.  I think it's pretty accurate.  It tracks sleep in 4 stages; awake, REM, light and deep.  For each night, you would get a sleep rating from 1 to 100, with 100 being the best.  I don't know how the Versa 2 determines the different stages, but it does seem to know when I start and finish sleeping accurately.  The other feature I use is the weight tracking.  I linked my Versa 2 to the RENPHO Bluetooth Body Fat Scale and it now tracks my weight easily and seamlessly with the REPHO app.  Since I have had sleeping problems, it's great to see a graphical representation of my sleep patterns day over day so that I can better understand what's happening.  I'm sure Fitbit has a disclaimer on the accuracy of the data, but from my experience it seems correct.	5.0	5.060681148587504
Phillip Ezell	Great capability for a reasonable price.	I like the fitness and sleep tracking capabilities.  I was a little concerned about using it with an iPhone but the watch and app have performed well thus far.  The Fitbit Versa 2 has given me all the capabilities I was looking for at a much cheaper cost than Apple Watch and with much better battery life.	5.0	5.07554248873589
Debbie	I love it!	I love my Versa 2, but I can only compare it to my Alta HR, which I had been happy with. I love that I can change the screens, and there are a lot of free styles. I like to match the current holiday or season. I’ve had fall leaves, jack-o-lanterns, a turkey, and now Santa. I like that I can choose apps to get notifications from, that the screen is large enough to read the messages, and I can scroll back through past notifications. I also like that more information is included on the home screen.	5.0	5.077276007649587
Dreamersland	Love my Fitbit!!	Got it yesterday.  Super easy to set up, very intuitive.  I love the look and the feel of this one.  I have owned other Fitbits but I think this one is by far, my most favorite.  I love the look and the feel of the band.  I don't normally like the "plastic" bands but this one feels like soft leather.  It comes in the box with a large or a small.  I am currently using the small one.  I did order protective case for it so I don't nick the screen.  It is a bit bulky but still a favorite!	5.0	5.079997819998571
Katzapainter	Lots of info on this watch and very light weight	Love my Fitbit. Very light weight. Everything I need on the face of watch. I put my look alike girl (. ) on the face and have enjoyed all the things she does. I was having coffee with my sisters and she popped up sitting in a cup of coffee. My sisters where cracking up. Love that I can read a text while walking. And the music. I just haven’t figured out how to answer the phone on it. Heart rate and sleep tracking are awesome	5.0	5.1128997655448005
Ashlyn Pond	Comfy and motivational! Highly recommend!	I love my watch so much, and didn’t realize how much I wanted this until my husband got it for me. This has so much motivation for me, I am obsessed with it and have not taken it off since. It tracks all of my steps, and if it over tracks, I recommend to put it on your left hand and put your settings to dominate. Or put it on the hand that you don’t use the most and then said it to dominant. It is truly one of the best gifts I’ve ever received!	5.0	5.1106512175738565
Sierra Wrathall	Best watch!	Amazing smart watch/ fitness tracker! Well worth the upgrade from my old fitbit. The charging, the sleep tracking, calorie tracking, weather, etc. Is all great. The voice reply to texts works really well and pretty accurate! Definitely recommend.	5.0	5.084164400108811
Taylor Meeks	The Best FitBit Ever!	What an awesome product!! I upgraded from the FitBit Charge 2 to the Versa 2, and I was extremely satisfied with the product. There is a slight learning curve becuase the Versa 2 is quite high tech, and the ‘upgrade’ and syncing the new FitBit to the app took about 45 minutes.Nevertheless, the Versa 2 is incredible!! I love the Alexa feature, the wallet feature, and all the fantastic FitBit features like sleep tracking and exercise features. The band it comes with is super comfortable, and hasn’t caused any skin irritations (but I take mine off to charge everyday, disinfect the bands, and leave it off for at least an hour). Keep in mind before I bought the Versa 2, I was already fluent with FitBit products. If you have fitbit products and are considering upgrading, upgrade to the Versa 2. You won’t be sorry!!	5.0	5.138476701600491
Pappy	My New Fitbit.	I have had several different Fitbit watches over the years but this one seems to be the best yet. Easy to use and find what you want. It can be customized to your liking. I really like the feature that when you turn your wrist and look at the watch it wakes up, unlike older models where you had to press a button to get the time. Highly recommend this model.	5.0	5.489930526195906
Jill Fowler	Happy with purchase	Happy with purchase.  Love having the insight right on my wrist.  Motivates me to be more active by getting my steps in and more conscious of my calorie consumption.  Only complaint is it has trouble syncing almost every morning.  Otherwise happy with purchase and glad I bought it.	5.0	5.402452714356095
BevD	Absolutely love the Fitbit Versa 2!	I purchased the Fitbit Versa 2 and I love it. It took me a few attempts to pair it with my Samsung Galaxy 10s+ 5G but I got it to work.  This watch makes me want to challenge myself and complete all my goals. I don’t usually wear any jewelry or watches to bed but I started wearing the Fitbit to track my sleep, it is very comfortable. Over all I am very pleased with my purchase.	5.0	5.2065769517856255
UberFoodie	Love this thing	I opted for this over an Apple Watch, because all I really need is the fitness tracker - for the price, this thing is a much better choice. This is my third (?) Fitbit product, so I saw no need to change anyway, they've always worked well for me. This thing is great - it's sleek, fits well, and has great apps and software. I use it with the MyFitnessPal app on my iPhone with no issues at all. It does everything I need it to do, plus a few whistles & bells: text & call notification, AM alarms, can change out the watch face & wristbands - all great. I do wish that the battery life was a bit longer - or gave me more notice when it's running low. An additional charger would also be a great option, but definitely not a dealbreaker. I'd absolutely purchase this again. If you're looking for a very stylish, super-functional fitness tracker that won't break the bank, this is the one.	5.0	5.170615250898586
